id_odsp,league,ht,at,fthg,ftag,MATCH_ID
MZNN1z4o/,E0,Fulham,QPR,6,0,320
0WHEVf0F/,E0,Swansea,Stoke City,2,0,321
8jQZbYm4/,E0,Tottenham,Arsenal,2,1,322
4zg3fJdI/,E0,Bolton,Chelsea,1,5,323
UPGp1Nbi/,F1,Marseille,Brest,1,1,324
xjKha1T3/,F1,Paris Saint-Germain,Lyon,2,0,325
pCFkwK6p/,F1,Lille,Stade Rennes,2,0,326
j5M1u3MN/,D1,Hannover 96,Werder Bremen,3,2,327
CENctq7H/,D1,Hamburg SV,Schalke 04,1,2,328
b5tYg0rJ/,I1,Lecce,Cagliari,0,2,329
QFlLd2b0/,I1,Fiorentina,Lazio,1,2,330
KEsUftTC/,I1,Juventus,AC Milan,2,0,331
jwbOIqLJ/,I1,Novara,Catania,3,3,332
zBZfDNrs/,I1,Parma,Genoa,3,1,333
ryw3B1Dg/,I1,Udinese,Bologna,2,0,334
UTdSH3zQ/,I1,Palermo,Siena,2,0,335
WhkHcrqf/,I1,Cesena,Chievo Verona,0,0,336
650nAGXP/,SP1,Real Sociedad,Athletic Bilbao,1,2,337
2L3Z2YPa/,SP1,Espanyol,Real Madrid,0,4,338
0OeqlZA6/,SP1,Sporting Gijon,Barcelona,0,1,339
8lemmgQC/,SP1,Atletico Madrid,Sevilla,0,0,340
KCtN3EAg/,SP1,Real Betis,Levante,0,1,341
bglif2yH/,D1,Werder Bremen,Borussia Dortmund,0,2,342
2H9KABX9/,E0,Wigan,Bolton,1,3,343
C2PteWXM/,E0,Chelsea,Everton,3,1,344
vNGIUEFL/,E0,Norwich City,Swansea,3,1,345
Wn6DkAep/,E0,Manchester City,Aston Villa,4,1,346
t2LBCX2c/,E0,Stoke City,Fulham,2,0,347
SbH7DDmi/,E0,QPR,Blackburn,1,1,348
jgOpfjmT/,E0,Liverpool,Manchester Utd,1,1,349
lY7vDKc3/,F1,Nice,Bordeaux,3,0,350
KYB9eJSS/,F1,AJ Auxerre,Lille,1,3,351
I9ipkH5d/,F1,Lyon,AS Nancy Lorraine,3,1,352
df3yiwyp/,F1,Brest,Caen,1,1,353
As9zE0rc/,F1,Montpellier,Dijon FCO,5,3,354
vJhtjcjj/,F1,Evian Thonon Gaillard,St Etienne,1,2,355
rX0mBbSF/,F1,Toulouse,Marseille,0,0,356
tIwdgMjN/,D1,Mainz,FC Augsburg,0,1,357
KOQ1A36i/,D1,VfL Wolfsburg,Nurnberg,2,1,358
GpRverMA/,D1,Schalke 04,Kaiserslautern,1,2,359
nBMzdO64/,D1,Bayern Munich,Hertha Berlin,4,0,360
C0URm0Ep/,D1,VfB Stuttgart,TSG Hoffenheim,2,0,361
bFP59NLc/,D1,Borussia Monchengladbach,Bayer Leverkusen,2,2,362
88BkPKsg/,I1,Napoli,Parma,1,2,363
UHCoQ0Sn/,I1,AC Milan,Palermo,3,0,364
